i,e
0,1.1478459392043292
1,3.8529768085842844
2,7.35325991447484
3,5.532364482473832
4,8.645099268225078
5,6.908331777616878
6,9.12920419383967
7,8.826206466370142
8,8.648277801949424
9,5.899590660745659
10,9.01986180979812
11,9.153249451298015
12,10.065735255800814
13,9.967229774524558
14,10.34537250656905
15,10.330055280109644
16,11.023198428207923
17,11.341023125186977
18,11.394952370516394
19,10.30203188712918
20,9.836136803293526
21,10.58294204341475
22,10.37379362377613
23,10.387288739304678
24,8.619150469002498
25,10.068115794060002
26,10.026390402039823
27,10.13549831504108
28,10.38630363169896
29,10.59021254709222
30,9.306454719955179
31,10.197560450339557
32,9.488366707841049
33,10.66633622176192
34,10.30039547293434
35,10.270035778619308
36,9.646604349376329
37,10.144182441190534
38,10.42035562067988
39,9.830397912161823
40,10.252086053031938
41,10.199231425346474
42,10.390589766640316
43,10.28824868246119
44,10.371712460208096
45,10.622833960865478
46,10.315029506987226
47,10.433001191740667
48,10.387998747029238
49,10.405196706034284
50,10.398628919127711
51,10.401137772661212
52,10.400179502460547
53,10.400545532984129
54,10.400405722331456
55,10.400459125331576
56,10.400438727212615
57,10.400446518602449
58,10.400443542556612
59,10.40044467930502
60,10.40044424510577
61,10.400444410955128
62,10.400444347606312
63,10.400444371803408
64,10.400444362560938
65,10.40044436609125
66,10.400444364742789
67,10.400444365257856
68,10.400444365061118
69,10.400444365136266
70,10.40044436510756
71,10.400444365118528
72,10.400444365114339
73,10.400444365115938
74,10.400444365115323
75,10.400444365115563
76,10.40044436511547
77,10.400444365115506
78,10.40044436511549
79,10.400444365115495
80,10.400444365115494
81,10.400444365115492
82,10.400444365115494
83,10.400444365115497
84,10.400444365115497
85,10.400444365115497
86,10.400444365115495
87,10.400444365115495
88,10.400444365115495
89,10.400444365115499
90,10.400444365115499
91,10.400444365115499
92,10.400444365115499
93,10.400444365115497
94,10.400444365115499
95,10.400444365115499
96,10.4004443651155
97,10.400444365115497
98,10.400444365115499
99,10.400444365115495
100,10.400444365115499
101,10.400444365115499
102,10.400444365115499
103,10.400444365115497
104,10.400444365115499
105,10.400444365115499
106,10.400444365115499
107,10.400444365115499
108,10.400444365115499
109,10.400444365115499
110,10.4004443651155
111,10.400444365115499
112,10.4004443651155
113,10.4004443651155
114,10.4004443651155
115,10.400444365115497
116,10.400444365115499
117,10.400444365115495
118,10.400444365115499
119,10.400444365115497
120,10.400444365115499
121,10.400444365115494
122,10.400444365115499
123,10.400444365115494
124,10.400444365115499
125,10.400444365115497
126,10.400444365115499
127,10.400444365115495
128,10.400444365115499
129,10.400444365115497
130,10.400444365115499
131,10.400444365115499
132,10.400444365115495
133,10.400444365115497
134,10.400444365115495
135,10.400444365115497
136,10.400444365115497
137,10.400444365115499
138,10.400444365115499
139,10.400444365115497
140,10.400444365115499
141,10.400444365115495
142,10.400444365115499
143,10.400444365115495
144,10.400444365115499
145,10.400444365115494
146,10.400444365115497
147,10.400444365115492
148,10.400444365115495
149,10.400444365115499
150,10.400444365115499
151,10.400444365115499
152,10.4004443651155
153,10.400444365115499
154,10.400444365115499
155,10.400444365115499
156,10.400444365115495
157,10.400444365115497
158,10.400444365115499
159,10.400444365115497
160,10.400444365115499
161,10.400444365115499
162,10.400444365115499
163,10.400444365115497
164,10.400444365115499
165,10.400444365115497
166,10.400444365115499
167,10.400444365115499
168,10.400444365115499
169,10.400444365115497
170,10.400444365115499
171,10.400444365115497
172,10.400444365115499
173,10.400444365115499
174,10.400444365115499
175,10.400444365115495
176,10.400444365115497
177,10.400444365115497
178,10.400444365115499
179,10.400444365115499
180,10.400444365115499
181,10.400444365115497
182,10.400444365115499
183,10.400444365115497
184,10.400444365115497
185,10.400444365115499
186,10.400444365115499
187,10.400444365115499
188,10.400444365115499
189,10.400444365115497
190,10.400444365115495
191,10.400444365115499
192,10.400444365115499
193,10.400444365115495
194,10.400444365115497
195,10.400444365115497
196,10.4004443651155
197,10.400444365115499
198,10.400444365115499
199,10.400444365115497
200,10.400444365115499
201,10.400444365115497
202,10.400444365115499
203,10.400444365115499
204,10.4004443651155
205,10.400444365115497
206,10.4004443651155
207,10.400444365115494
208,10.400444365115499
209,10.400444365115495
210,10.400444365115499
211,10.400444365115497
212,10.400444365115499
213,10.400444365115497
214,10.400444365115497
215,10.400444365115499
216,10.400444365115495
217,10.400444365115497
218,10.400444365115497
219,10.400444365115497
220,10.400444365115497
221,10.400444365115497
222,10.400444365115495
223,10.400444365115497
224,10.400444365115497
225,10.400444365115497
226,10.400444365115495
227,10.400444365115497
228,10.400444365115495
229,10.400444365115494
230,10.400444365115495
231,10.400444365115492
232,10.400444365115495
233,10.400444365115499
234,10.400444365115497
235,10.400444365115497
236,10.400444365115497
237,10.400444365115497
238,10.400444365115499
239,10.400444365115499
240,10.400444365115499
241,10.400444365115497
242,10.400444365115497
243,10.400444365115497
244,10.400444365115499
245,10.400444365115499
246,10.400444365115499
247,10.400444365115497
248,10.400444365115497
249,10.400444365115497
250,10.400444365115499
251,10.400444365115499
252,10.400444365115499
253,10.400444365115497
254,10.400444365115497
255,10.400444365115497
256,10.400444365115499
257,10.400444365115499
258,10.400444365115499
259,10.400444365115497
260,10.400444365115497
261,10.400444365115497
262,10.400444365115497
263,10.400444365115497
264,10.400444365115495
265,10.400444365115495
266,10.400444365115495
267,10.400444365115494
268,10.400444365115495
269,10.400444365115499
270,10.400444365115499
271,10.400444365115495
272,10.400444365115497
273,10.400444365115494
274,10.400444365115499
275,10.400444365115497
276,10.400444365115495
277,10.400444365115494
278,10.400444365115497
279,10.400444365115495
280,10.400444365115497
281,10.400444365115495
282,10.400444365115495
283,10.400444365115494
284,10.400444365115499
285,10.400444365115497
286,10.400444365115497
287,10.400444365115497
288,10.400444365115494
289,10.400444365115495
290,10.400444365115495
291,10.400444365115494
292,10.400444365115495
293,10.400444365115499
294,10.400444365115499
295,10.400444365115495
296,10.400444365115497
297,10.400444365115492
298,10.400444365115497
299,10.400444365115495
300,10.400444365115495
