i,e
0,97.01517777871729
1,97.01517777871729
2,98.62385321100918
3,98.6217393142519
4,98.6217393142519
5,98.85215406079567
6,99.08256880733944
7,99.08151185896081
8,99.08256880733944
9,99.08256880733944
10,99.08256880733944
11,99.08256880733944
12,99.08256880733944
13,99.08256880733944
14,99.3119266055046
15,99.3119266055046
16,99.3119266055046
17,99.3119266055046
18,99.3119266055046
19,99.3119266055046
20,99.3119266055046
21,99.3119266055046
22,99.3119266055046
23,99.3119266055046
24,99.3119266055046
25,99.3119266055046
26,99.3119266055046
27,99.3119266055046
28,99.3119266055046
29,99.3119266055046
30,99.3119266055046
31,99.3119266055046
32,99.3119266055046
33,99.3119266055046
34,99.3119266055046
35,99.3119266055046
36,99.3119266055046
37,99.3119266055046
38,99.3119266055046
39,99.3119266055046
40,99.3119266055046
41,99.3119266055046
42,99.3119266055046
43,99.3119266055046
44,99.3119266055046
45,99.3119266055046
46,99.3119266055046
47,99.3119266055046
48,99.3119266055046
49,99.3119266055046
50,99.3119266055046
51,99.3119266055046
52,99.3119266055046
53,99.3119266055046
54,99.3119266055046
55,99.3119266055046
56,99.3119266055046
57,99.3119266055046
58,99.3119266055046
59,99.3119266055046
60,99.3119266055046
61,99.3119266055046
62,99.3119266055046
63,99.3119266055046
64,99.3119266055046
65,99.3119266055046
66,99.3119266055046
67,99.3119266055046
68,99.3119266055046
69,99.3119266055046
70,99.3119266055046
71,99.3119266055046
72,99.3119266055046
73,99.3119266055046
74,99.3119266055046
75,99.3119266055046
76,99.3119266055046
77,99.3119266055046
78,99.3119266055046
79,99.3119266055046
80,99.3119266055046
81,99.3119266055046
82,99.3119266055046
83,99.3119266055046
84,99.3119266055046
85,99.3119266055046
86,99.3119266055046
87,99.3119266055046
88,99.3119266055046
89,99.3119266055046
90,99.3119266055046
91,99.3119266055046
92,99.3119266055046
93,99.3119266055046
94,99.3119266055046
95,99.3119266055046
96,99.3119266055046
97,99.3119266055046
98,99.3119266055046
99,99.3119266055046
100,99.3119266055046
101,99.3119266055046
102,99.3119266055046
103,99.3119266055046
104,99.3119266055046
105,99.3119266055046
106,99.3119266055046
107,99.3119266055046
108,99.3119266055046
109,99.3119266055046
110,99.3119266055046
111,99.3119266055046
112,99.3119266055046
113,99.3119266055046
114,99.3119266055046
115,99.3119266055046
116,99.3119266055046
117,99.3119266055046
118,99.3119266055046
119,99.3119266055046
120,99.3119266055046
121,99.3119266055046
122,99.3119266055046
123,99.3119266055046
124,99.3119266055046
125,99.3119266055046
126,99.3119266055046
127,99.3119266055046
128,99.3119266055046
129,99.3119266055046
130,99.3119266055046
131,99.3119266055046
132,99.3119266055046
133,99.3119266055046
134,99.3119266055046
135,99.3119266055046
136,99.3119266055046
137,99.3119266055046
138,99.3119266055046
139,99.3119266055046
140,99.3119266055046
141,99.3119266055046
142,99.3119266055046
143,99.3119266055046
144,99.3119266055046
145,99.3119266055046
146,99.3119266055046
147,99.3119266055046
148,99.3119266055046
149,99.3119266055046
150,99.3119266055046
151,99.3119266055046
152,99.3119266055046
153,99.3119266055046
154,99.3119266055046
155,99.3119266055046
156,99.3119266055046
157,99.3119266055046
158,99.3119266055046
159,99.3119266055046
160,99.3119266055046
161,99.3119266055046
162,99.3119266055046
163,99.3119266055046
164,99.3119266055046
165,99.3119266055046
166,99.3119266055046
167,99.3119266055046
168,99.3119266055046
169,99.3119266055046
170,99.3119266055046
171,99.3119266055046
172,99.3119266055046
173,99.3119266055046
174,99.3119266055046
175,99.3119266055046
176,99.3119266055046
177,99.3119266055046
178,99.3119266055046
179,99.3119266055046
180,99.3119266055046
181,99.3119266055046
182,99.3119266055046
183,99.3119266055046
184,99.3119266055046
185,99.3119266055046
186,99.3119266055046
187,99.3119266055046
188,99.3119266055046
189,99.3119266055046
190,99.3119266055046
191,99.3119266055046
192,99.3119266055046
193,99.3119266055046
194,99.3119266055046
195,99.3119266055046
196,99.3119266055046
197,99.3119266055046
198,99.3119266055046
199,99.3119266055046
200,99.3119266055046
201,99.3119266055046
202,99.3119266055046
203,99.3119266055046
204,99.3119266055046
205,99.3119266055046
206,99.3119266055046
207,99.3119266055046
208,99.3119266055046
209,99.3119266055046
210,99.3119266055046
211,99.3119266055046
212,99.3119266055046
213,99.3119266055046
214,99.3119266055046
215,99.3119266055046
216,99.3119266055046
217,99.3119266055046
218,99.3119266055046
219,99.3119266055046
220,99.3119266055046
221,99.3119266055046
222,99.3119266055046
223,99.3119266055046
224,99.3119266055046
225,99.3119266055046
226,99.3119266055046
227,99.3119266055046
228,99.3119266055046
229,99.3119266055046
230,99.3119266055046
231,99.3119266055046
232,99.3119266055046
233,99.3119266055046
234,99.3119266055046
235,99.3119266055046
236,99.3119266055046
237,99.3119266055046
238,99.3119266055046
239,99.3119266055046
240,99.3119266055046
241,99.3119266055046
242,99.3119266055046
243,99.3119266055046
244,99.3119266055046
245,99.3119266055046
246,99.3119266055046
247,99.3119266055046
248,99.3119266055046
249,99.3119266055046
250,99.3119266055046
251,99.3119266055046
252,99.3119266055046
253,99.3119266055046
254,99.3119266055046
255,99.3119266055046
256,99.3119266055046
257,99.3119266055046
258,99.3119266055046
259,99.3119266055046
260,99.3119266055046
261,99.3119266055046
262,99.3119266055046
263,99.3119266055046
264,99.3119266055046
265,99.3119266055046
266,99.3119266055046
267,99.3119266055046
268,99.3119266055046
269,99.3119266055046
270,99.3119266055046
271,99.3119266055046
272,99.3119266055046
273,99.3119266055046
274,99.3119266055046
275,99.3119266055046
276,99.3119266055046
277,99.3119266055046
278,99.3119266055046
279,99.3119266055046
280,99.3119266055046
281,99.3119266055046
282,99.3119266055046
283,99.3119266055046
284,99.3119266055046
285,99.3119266055046
286,99.3119266055046
287,99.3119266055046
288,99.3119266055046
289,99.3119266055046
290,99.3119266055046
291,99.3119266055046
292,99.3119266055046
293,99.3119266055046
